mean,std,feat__words__ngram_range,feat__char__use_idf,clf__loss,feat__words__min_df,feat__words__use_idf,clf__alpha
0.32989875688837628,0.20194374091799486,"(1, 6)",True,log,2,False,1e-06
0.32017172882224787,0.1984452112112568,"(1, 5)",True,log,3,True,1e-06
0.32634243239779565,0.20380845393027713,"(1, 5)",True,log,3,False,1e-06
0.32031270024349606,0.2004444404699291,"(1, 6)",True,log,3,True,1e-06
0.32445854158656928,0.20497469619486458,"(1, 6)",True,log,3,False,1e-06
0.31778162245290276,0.21739308241911526,"(1, 5)",False,log,2,True,1e-06
0.3178969627066513,0.21686764200713288,"(1, 5)",False,log,2,False,1e-06
0.31805715750352431,0.21795055678118236,"(1, 6)",False,log,2,True,1e-06
0.31774958349352811,0.21738667503783729,"(1, 6)",False,log,2,False,1e-06
0.31129052928360884,0.21543878908409192,"(1, 5)",False,log,3,True,1e-06
